Id;Green_MS;Yellow_MS;Orange1_MS;Orange2_MS;Red_MS;Yellow_TE;Orange_TE;Cyan_TE;Dblue_TE;Black_TE;Green_RGB;Yellow_RGB;Orange1_RGB;Orange2_RGB;Red_RGB;Sicaklik_Ort;Sicaklik_Max;Sicaklik_Min;Nem_Ort;Nem_Max;Nem_Min;Yagis;Ruzgar_Ort;Ruzgar_Max;Gunluk_ET0;Ilaclama;Kullenme;Tarih
57;30,51097621;32,81497304;23,29730573;10,02049035;6,310047444;11,72872094;17,75091058;27,13890885;29,88448858;14,14489431;11,64682027;16,72723907;20,89771014;25,26891524;22,83934759;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
58;36,5806695;34,92572195;17,17302972;12,80920964;5,62199464;11,36879299;17,97615308;26,34837121;28,39368214;14,22753367;7,815718576;15,91690684;23,13494708;26,10855608;23,20536932;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
59;33,30067502;33,64977263;18,42928698;10,55891994;8,215638265;11,80814789;17,76672823;26,83077937;28,54112575;14,40249652;12,47526351;16,46723609;22,58880029;27,30886215;23,63638051;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
60;23,06444096;33,4011671;16,82999595;9,079967079;6,573916113;11,95460501;17,95277541;26,5000508;28,7144245;15,05316027;12,94613891;15,54834449;21,17072033;27,55157639;22,57433638;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
61;27,53970783;38,24018178;21,66373436;11,49169344;7,775627738;12,24934453;18,07039485;26,42350082;29,1800805;13,95748563;10,33970774;17,88569656;21,25442512;27,0263403;23,19671175;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
62;34,15613218;36,05934456;15,76678675;9,202143097;5,661691176;10,68150162;18,88434101;25,73424518;29,36720748;14,89846606;8,139406592;17,86583174;23,96444033;28,16145079;22,79916247;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
63;22,58636761;34,67251358;22,30103303;9,519591857;7,499402606;11,78909687;17,81159503;25,83364976;28,81948855;14,88074501;8,489906433;16,38759092;23,63832276;25,59095354;22,72411934;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
64;25,53435158;36,15303137;23,26809235;14,81561322;7,489625399;11,53986587;17,90292463;26,04850138;29,90638347;14,03306496;8,098127867;16,67097937;23,3965339;28,08371356;23,34128345;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
65;27,04316893;34,61788906;16,35043517;9,415164082;6,116134349;10,97176327;18,38734607;26,9900253;29,68338803;14,94254295;9,038640633;17,38353824;22,14897887;25,53735902;23,30653537;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
66;18,98753209;35,15266348;22,22535834;15,68151309;5,130182957;11,58715074;18,53116192;25,88118578;29,79377047;14,28358433;7,929110231;16,86804705;21,0083167;27,74131528;23,58293629;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
67;19,64696576;33,05206724;20,51444239;15,55604644;5,709461898;11,85061014;18,14193575;25,72028561;28,8332215;15,2538008;7,740938585;15,45212088;22,91014111;26,03067525;23,06723784;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
68;30,66629162;32,36302628;23,92804473;11,10051519;7,34345005;11,96449886;18,40338315;27,09252016;29,26549344;14,75667625;7,964587691;15,40866899;22,61278574;27,2164305;22,95610155;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
69;22,95625078;38,15838237;25,23504808;13,28057073;5,573291304;10,93367458;18,51313024;26,0325436;29,92061737;15,21788305;9,951880874;17,74106727;24,35992135;27,54926619;23,09268381;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
70;19,74635024;37,81126815;19,36740183;12,62138571;6,793393968;10,69814295;18,11400447;26,75008565;28,53536971;14,34296971;13,10661049;16,35783147;23,89552506;27,70553268;23,2160556;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
71;33,95754127;32,92661123;23,00988253;9,130211696;4,608719493;12,13939397;18,93526489;26,59012598;28,86473254;14,80486693;12,6874003;15,76374053;22,37010272;26,5591169;23,86697137;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
72;37,43006267;36,47083562;19,98873921;10,21811933;5,854296349;11,68891397;18,27140716;26,82743744;29,94921939;14,2632802;10,23627693;15,11560039;23,9945701;27,50614264;22,92317237;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
73;30,81638104;38,07658242;23,1651182;15,8788391;5,054781924;10,9004652;18,71904442;26,77471696;29,21248647;14,43047934;13,27610496;16,18139586;23,50798048;25,37762686;22,83565609;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
74;33,905682;34,57316603;15,87159096;9,517693042;6,209349571;10,68091594;18,31524403;26,01386865;29,17328687;14,77332948;12,91973139;17,83979631;22,93001961;26,59427186;23,29038728;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
75;32,85706044;34,85857133;25,82924057;13,89333115;6,296229322;11,22387247;17,88745342;25,89169547;29,56911594;15,0716177;11,60359505;17,83944459;24,09490326;27,43156159;23,42365628;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
76;33,7927462;35,24351016;25,24446509;15,60668673;4,835995408;10,68429715;19,0302467;26,62832543;29,38678949;13,78097299;11,84512559;17,72426413;23,4505505;28,50716751;23,69065252;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
77;37,15579175;34,19468127;24,12507144;12,388676;5,682412155;11,46903327;18,09052836;25,95762546;28,40060494;13,85103929;11,13591059;17,55698969;21,28791348;28,44554213;23,14058389;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
78;30,19088287;35,20762166;15,81556621;11,85806157;5,671227176;10,70874921;18,9885486;25,93086187;29,73422569;14,77113747;12,8357994;17,13323737;23,87432381;28,30962038;22,85938716;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
79;26,96028092;35,16840364;22,40498363;13,8656642;7,458435118;11,83961158;18,19760644;26,41218504;28,96053816;14,66598996;9,009130071;17,95079838;20,80082351;26,67354057;23,00328786;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
80;34,40329176;36,48514265;18,57502993;9,102754386;5,346265586;11,26353904;18,5196806;26,45727346;29,84415411;13,90084302;10,00209788;16,12297219;22,65509312;25,22853734;23,83889611;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
81;22,20542101;37,50184659;20,82357174;11,10447011;7,673342153;11,3907045;18,88288114;26,38523899;28,50226018;13,77850015;8,055272259;16,11448597;22,29019883;27,98141244;23,168438;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
82;18,71234675;32,61640254;25,58190795;11,22931929;7,586045684;11,01671086;18,60901231;26,27266941;29,25025473;13,78104742;8,047510471;17,4998319;22,56508171;27,58291436;22,65469486;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
83;31,80146104;37,10021218;22,97973399;15,84770239;6,073606762;12,19586723;18,23397484;27,15444893;29,90902704;13,78868656;12,58641103;16,24262321;21,93755694;28,28837642;23,7053811;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
84;29,60178713;34,29147514;18,18778148;9,06351773;6,521592233;12,09045384;18,48191217;26,47455109;28,47961062;14,70015901;13,34560211;15,6573651;23,10426516;26,36721411;23,28676814;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
85;16,92433428;34,46232531;19,73130617;15,5008657;5,257244994;10,75065221;17,75071042;26,23815362;29,43201248;13,97862081;8,688933725;17,29242411;23,93854066;25,23469786;23,36067502;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
86;29,77493384;34,38022318;17,76374875;9,237998434;6,155768259;11,22788346;18,38346533;26,51636919;28,81801997;14,52473672;12,99910507;16,58086402;23,97679601;27,59706789;23,61661736;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
87;32,34633409;33,53880388;19,42685566;11,19042878;5,541409577;11,79973929;18,7467168;26,57896631;29,17205883;14,25918158;8,230546219;15,71716697;21,93490506;25,69196461;23,53426813;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
88;20,70954762;38,61355798;21,39329947;14,11730436;8,22831433;11,30350704;18,151477;26,23641428;29,19874252;14,2353404;11,0903006;16,92223771;21,18051019;25,90899532;22,7969422;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
